Outer pipe diameter;    Inner pipe diameter;    Inner pipe socket tyPE;     Count
[250;                     140;                            BOE;                 1]
[250;                     140;                            ZOE;                 1]
[250;                     140;                            PE;                  1]
[250;                     125;                            BOE;                 1]
[250;                     125;                            ZOE;                 1]
[250;                     125;                            PE;                  1]
[250;                     110;                            BOE;                 1]
[250;                     110;                            ZOE;                 1]
[250;                     110;                            PE;                  1]
[250;                     90;                             BOE;                 3]
[250;                     90;                             ZOE;                 3]
[250;                     90;                             PE;                  3]
[250;                     75;                             BOE;                 4]
[250;                     75;                             ZOE;                 4]
[250;                     75;                             PE;                  4]
[250;                     63;                             BOE;                 5]
[250;                     63;                             ZOE;                 5]
[250;                     63;                             PE;                  5]
[250;                     50;                             BOE;                 8]
[250;                     50;                             ZOE;                 8]
[250;                     50;                             PE;                  8]
[250;                     40;                             BOE;                 20]
[250;                     40;                             PE;                  20]
[250;                     32;                             BOE;                 30]
[250;                     32;                             PE;                  30]
[250;                     25;                             BOE;                 74]
[250;                     25;                             PE;                  74]
[250;                     20;                             BOE;                 88]
[250;                     20;                             PE;                  88]
[200;                     160;                            BOE;                 1]
[200;                     160;                            ZOE;                 1]
[200;                     160;                            PE;                  1]
[200;                     140;                            BOE;                 1]
[200;                     140;                            ZOE;                 1]
[200;                     140;                            PE;                  1]
[200;                     125;                            BOE;                 1]
[200;                     125;                            ZOE;                 1]
[200;                     125;                            PE;                  1]
[200;                     110;                            BOE;                 1]
[200;                     110;                            ZOE;                 1]
[200;                     110;                            PE;                  1]
[200;                     90;                             BOE;                 1]
[200;                     90;                             ZOE;                 1]
[200;                     90;                             PE;                  1]
[200;                     75;                             BOE;                 2]
[200;                     75;                             ZOE;                 2]
[200;                     75;                             PE;                  2]
[200;                     63;                             BOE;                 4]
[200;                     63;                             ZOE;                 4]
[200;                     63;                             PE;                  4]
[200;                     50;                             BOE;                 6]
[200;                     50;                             ZOE;                 6]
[200;                     50;                             PE;                  6]
[200;                     40;                             BOE;                 13]
[200;                     40;                             PE;                  13]
[200;                     32;                             BOE;                 19]
[200;                     32;                             PE;                  19]
[200;                     25;                             BOE;                 44]
[200;                     25;                             PE;                  44]
[200;                     20;                             BOE;                 52]
[200;                     20;                             PE;                  52]
[160;                     140;                            BOE;                 1]
[160;                     140;                            ZOE;                 0]
[160;                     140;                            PE;                  1]
[160;                     125;                            BOE;                 1]
[160;                     125;                            ZOE;                 1]
[160;                     125;                            PE;                  1]
[160;                     110;                            BOE;                 1]
[160;                     110;                            ZOE;                 1]
[160;                     110;                            PE;                  1]
[160;                     90;                             BOE;                 1]
[160;                     90;                             ZOE;                 1]
[160;                     90;                             PE;                  1]
[160;                     75;                             BOE;                 1]
[160;                     75;                             ZOE;                 1]
[160;                     75;                             PE;                  1]
[160;                     63;                             BOE;                 1]
[160;                     63;                             ZOE;                 1]
[160;                     63;                             PE;                  1]
[160;                     50;                             BOE;                 4]
[160;                     50;                             ZOE;                 4]
[160;                     50;                             PE;                  4]
[160;                     40;                             BOE;                 8]
[160;                     40;                             PE;                  8]
[160;                     32;                             BOE;                 11]
[160;                     32;                             PE;                  11]
[160;                     25;                             BOE;                 29]
[160;                     25;                             PE;                  29]
[160;                     20;                             BOE;                 34]
[160;                     20;                             PE;                  34]
[140;                     125;                            BOE;                 1]
[140;                     125;                            ZOE;                 0]
[140;                     125;                            PE;                  1]
[140;                     110;                            BOE;                 1]
[140;                     110;                            ZOE;                 0]
[140;                     110;                            PE;                  1]
[140;                     90;                             BOE;                 1]
[140;                     90;                             ZOE;                 1]
[140;                     90;                             PE;                  1]
[140;                     75;                             BOE;                 1]
[140;                     75;                             ZOE;                 1]
[140;                     75;                             PE;                  1]
[140;                     63;                             BOE;                 1]
[140;                     63;                             ZOE;                 1]
[140;                     63;                             PE;                  1]
[140;                     50;                             BOE;                 2]
[140;                     50;                             ZOE;                 2]
[140;                     50;                             PE;                  2]
[140;                     40;                             BOE;                 7]
[140;                     40;                             PE;                  7]
[140;                     32;                             BOE;                 8]
